Tissue,Disease,Species,symbol,ID,Type,Expression,Target,Pathway,Function,PMID,Title,Year
kidney,renal_fibrosis,mus_musculus,Malat1,ENSMUSG00000092341,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 29D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Neat1,ENSMUSG00000092274,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 30D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Snhg6,ENSMUSG00000098234,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 34D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,1810034E14Rik,ENSMUSG00000097101,lncrna,down-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 8D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,renal_fibrosis,mus_musculus,Epb41l4aos,ENSMUSG00000087590,lncrna,up-regulation,NA,NA,We identified a long list of differentially expressed lncRNA genes in a statistical significant manner (P<0.05).In particular. we identified 62 lncRNAs that were differentially expressed in SO vs 2D. 110 lncRNAs in SO vs 8D and 24 in 2D vs 9D .,27189340,Whole-transcriptome analysis of UUO mouse model of renal fibrosis reveals new molecular players in kidney diseases,2016
kidney,kidney_diseases,mus_musculus,Miat,ENSMUSG00000097767,lncrna,up-regulation,NA,NA,NA,30914951,Long Non-coding RNAs Rian and Miat Mediate Myofibroblast Formation in Kidney Fibrosis,2019
kidney,kidney_diseases,mus_musculus,Meg8,ENSMUSG00000097451,lncrna,down-regulation,NA,NA,NA,30914951,Long Non-coding RNAs Rian and Miat Mediate Myofibroblast Formation in Kidney Fibrosis,2019
kidney,kidney_diseases,mus_musculus,Neat1,ENSMUSG00000092274,lncrna,up-regulation,NA,NA,NA,32475133,Long noncoding RNA NEAT1 sponges miR-130 to modulate renal fibrosis by regulation of collagen type I,2020
liver,liver_cirrhosis,mus_musculus,H19,ENSMUSG00000000031,lncrna,dysregulation,LNCRNA H19,NA,Cholangiocyte-derived exosomal h19 plays a critical role in the progression of cholestatic liver fibrosis by promoting hsc differentiation and activation and represents a potential diagnostic biomarker and therapeutic target for cholangiopathies.,30985008,Cholangiocyte-Derived Exosomal Long Noncoding RNA H19 Promotes Hepatic Stellate Cell Activation and Cholestatic Liver Fibrosis,2019
liver,liver_cirrhosis,mus_musculus,LFAR1,NA,lncrna,down-regulation,LNC-LFAR1,"TGF-BETA SIGNALING PATHWAY, NOTCH SIGNALING PATHWAY",Demonstrate that a liver-enriched lncrna. lnc-lfar1. promotes liver fibrosis and hsc activation by activating tgfbeta and notch signaling.,28747678,The liver-enriched lnc-LFAR1 promotes liver fibrosis by activating TGFbeta and Notch pathways,2017
liver,carcinoma_hepatocellular,mus_musculus,Malat1,ENSMUSG00000092341,lncrna,dysregulation,NA,NA,HCC and HPBL have clearly different patterns of gene expression. with genes IGF2. Fibronectin. DLK1. TGFb1. MALAT1 and MIG6 being over-expressed in HPBL versus HCC,17006932,Transcriptomic and genomic analysis of human hepatocellular carcinomas and hepatoblastomas,2006
liver,liver_cirrhosis,mus_musculus,H19,ENSMUSG00000000031,lncrna,up-regulation,NA,TGF-BETA SIGNALING PATHWAY,Histone deacetylase inhibition suppresses the transforming growth factor beta1-induced epithelial-to-mesenchymal transition in hepatocytes.,27350269,MeCP2 silencing of LncRNA H19 controls hepatic stellate cell proliferation by targeting IGF1R,2016
liver,liver_cirrhosis,mus_musculus,LNCRNA-ATB,114004396,lncrna,up-regulation,LNCRNA-ATB,NA,"Lncrna-atb,Mir-200a,beta-Catenin regulatory axis likely contributed to the development of liver fibrosis in hcv patients. Knockdown of lncrna-atb might be a novel therapeutic target for hcv-related liver fibrosis.",28302418,LncRNA-ATB/microRNA-200a/beta-catenin regulatory axis involved in the progression of HCV-related hepatic fibrosis,2017
liver,liver_cirrhosis,mus_musculus,Neat1,ENSMUSG00000092274,lncrna,dysregulation,NA,NA,Neat1 was significantly increased in ccl4-induced mice and activated hscs. Loss of neat1 suppressed liver fibrosis in vivo and in vitro. Klf6 and mir-122 were required for the effects of neat1 on hsc activation. Neat1 contributes to hsc activation via competitively binding mir-122. We disclose a novel neat1-mir-122-klf6 signaling cascade.,28864835,NEAT1 accelerates the progression of liver fibrosis via regulation of microRNA-122 and Kruppel-like factor 6,2017
liver,liver_cirrhosis,mus_musculus,H19,ENSMUSG00000000031,lncrna,dysregulation,LNCRNA-H19,AMPKA,Our results highlighted the role of lncrna-h19 in the metabolism of lipid droplets in hscs. and revealed a new molecular target for alleviating liver fibrosis.,32445757,HIF-1alfa-upregulated lncRNA-H19 regulates lipid droplet metabolism through the AMPKalfa pathway in hepatic stellate cells,2020
liver,liver_cirrhosis,mus_musculus,Scarna10,ENSMUSG00000089617,lncrna,up-regulation,SCARNA10,NA,Our study identified a crucial role of scarna10 in liver fibrosis. providing a proof of this molecule as a potential diagnostic marker and a possible therapeutic target against liver fibrosis.,31281502,SCARNA10. a nuclear-retained long non-coding RNA. promotes liver fibrosis and serves as a potential biomarker,2019
liver,liver_cirrhosis,mus_musculus,Mical2,ENSMUSG00000038244,lncrna,down-regulation,P66SHC,"MICAL2, MIR-230-3P, P66SHC",Our study reveals that p66shc is critical for liver fibrosis and that mical2. journal pre-proof journal pre-proof 4 mir-203a-3p and p66shc compose a novel regulatory pathway in liver fibrosis.,32659284,LncRNA Mical2/miR-203a-3p sponge participates in epithelial-mesenchymal transition by targeting p66Shc in liver fibrosis,2020
liver,liver_cirrhosis,mus_musculus,Pvt1,ENSMUSG00000097039,lncrna,patched2 demethylation,NA,HEDGEHOG SIGNALING PATHWAY,Pvt1 epigenetically down-regulates ptch1 expression via competitively binding mir-152. contributing to emt process in liver fibrosis.,27588491,Long non-coding RNA PVT1 activates hepatic stellate cells through competitively binding microRNA-152,2016
liver,liver_cirrhosis,mus_musculus,Meg3,ENSMUSG00000021268,lncrna,down-regulation,NA,NA,Serum level of lncrna-meg3 is lowly expressed in chb patients. which is negatively correlated to the liver fibrotic degree. Lncrna-meg3 may serve as a diagnostic biomarker for chb.,31173310,Diagnostic value of LncRNA-MEG3 as a serum biomarker in patients with hepatitis B complicated with liver fibrosis,2019
liver,liver_cirrhosis,mus_musculus,Mecp2,ENSMUSG00000031393,lncrna,phosphorylation,NA,NA,Strategies to inhibit mecp2 phosphorylation at s80 might be developed for treatment of liver fibrosis.,31352003,Fibrogenic Activity of MECP2 Is Regulated by Phosphorylation in Hepatic Stellate Cells,2019
liver,liver_cirrhosis,mus_musculus,H19,ENSMUSG00000000031,lncrna,up-regulation,NA,NA,"The activation of hepatic h19rna promoted cholestatic liver fibrosis in mice through the zeb1,Epcam signaling pathway.",28407375,H19 promotes cholestatic liver fibrosis by preventing ZEB1-mediated inhibition of EpCAM,2017
liver,liver_cirrhosis,mus_musculus,Trp53cor1,100504267,lncrna,dysregulation,LINCRNA-P21,TGF-BETA SIGNALING PATHWAY,The pleiotropic roles of hepatocyte lincrna-p21 suggest that it may represent an unknown paradigm in liver fibrosis and serve as a potential target for therapy.,28592847,TGF-beta-induced hepatocyte lincRNA-p21 contributes to liver fibrosis in mice,2017
liver,liver_cirrhosis,mus_musculus,Meg3,ENSMUSG00000021268,lncrna,hypermethylation,MEG3,NA,These findings suggested that meg3 may play an important role in stellate cell activation and liver fibrosis progression and act as a novel potential therapeutic target for liver fibrosis.,25201080,Inhibitory effects of long noncoding RNA MEG3 on hepatic stellate cells activation and liver fibrogenesis,2014
liver,liver_cirrhosis,mus_musculus,HULC,728655,lncrna,up-regulation,NA,NA,We confirmed the effects of hulc on tregs differentiation in hbv-related liver cirrhosis. In addition. it was proved that hulc regulates the function of tregs through down-regulated the level of p18 directly.,25952928,LncRNA HULC affects the differentiation of Treg in HBV-related liver cirrhosis,2015
liver,liver_cirrhosis,mus_musculus,Gpr137b-ps,ENSMUSG00000097715,lncrna,up-regulation,LNCRNA GPR137B-PS AND CXCL14,NA,"We demonstrated a lncrna gpr137b-ps,Mir-200a-3p,Cxcl14 axis that modulates hsc activation and might exert an effect on the pathogenesis of liver fibrosis.",33069761,A lncRNA Gpr137b-ps/miR-200a-3p/CXCL14 axis modulates hepatic stellate cell (HSC) activation,2021
liver,liver_cirrhosis,mus_musculus,Hottip,ENSMUSG00000055408,lncrna,up-regulation,SRF,NA,We provide a novel hottip-mir-150-srf signalling cascade in liver fibrosis.,30548190,Long noncoding RNA HOTTIP mediates SRF expression through sponging miR-150 in hepatic stellate cells,2019
liver,liver_cirrhosis,mus_musculus,Xist,ENSMUSG00000086503,lncrna,up-regulation,NA,NA,"Xist enhances ethanol-induced hscs autophagy and activation via mir-29b,Hmgb1 axis.",31418997,Long noncoding RNA XIST enhances ethanol-induced hepatic stellate cells autophagy and activation via miR-29b/HMGB1 axis,2019
lung,idiopathic_pulmonary_fibrosis,mus_musculus,Mir17hg,ENSMUSG00000089726,lncrna,dysregulation,NA,NA,Compared with control samples. miR-17~92 expression was reduced in lung biopsies and lung fibroblasts from patients with IPF. whereas DNMT-1 expression and methylation of the miR-17~92 promoter was increased. Several miRNAs from the miR-17~92 cluster targeted DNMT-1 expression resulting in a negative feedback loop. Similarly. miR-17~92 expression was reduced in the lungs of bleomycin-treated mice. Treatment with 5'-aza-2'-deoxycytidine in a murine bleomycin-induced pulmonary fibrosis model reduced fibrotic gene and DNMT-1 expression. enhanced miR-17~92 cluster expression. and attenuated pulmonary fibrosis.,23306545,Epigenetic regulation of miR-17~92 contributes to the pathogenesis of pulmonary fibrosis,2013
lung,idiopathic_pulmonary_fibrosis,mus_musculus,H19,ENSMUSG00000000031,lncrna,up-regulation,Col1a1,NA,"H19 play a promotive role in bleomycin-induced epithelial-mesenchymal transition of alveolar epithelial cell through miR-29b regulation. H19 expression was positively correlated with COL1A1 and Acta2 expression, H19 knockdown inhibited COL1A1 and Acta2 expression. Moreover. H19 interacted with miR-29b through directly binding to the 3'UTR, MiR-29b inhibited COL1A1 expression by directly binding to the 3'UTR. In conclusion. we revealed the promotive effect of H19 on BLM-induced IPF. and demonstrated the mechanism by which H19/miR-29b interaction exerts its effect on regulating pulmonary fibrosis.",27613097,The effect of H19-miR-29b interaction on bleomycin-induced mouse model of idiopathic pulmonary fibrosis,2016
lung,pulmonary_hypertension,mus_musculus,Mir17hg,ENSMUSG00000089726,lncrna,down-regulation,Pdlim5?,NA,Human PASMC (HPASMC) from patients with PAH expressed decreased levels of the miR-17 92 cluster. TGF-B. and SMC markers.  Knockdown of Smad3 but not Smad2 prevented miR-17 92-induced expression of SMC markers. SMC-specific knockout of miR-17 92 attenuated hypoxia-induced pulmonary hypertension (PH) in mice. whereas reconstitution of miR-17 92 restored hypoxia-induced PH in these mice. PDLIM5 is a direct target of miR-17/20a. and hypertensive HPASMC and mouse PASMC expressed elevated PDLIM5 levels. Suppression of PDLIM5 increased expression of SMC markers and enhanced TGF-B/Smad2/3 activity in vitro and enhanced hypoxia-induced PH in vivo. whereas overexpression of PDLIM5 attenuated hypoxia-induced PH.,25647182,Loss of MicroRNA-17 92 in Smooth Muscle Cells Attenuates Experimental Pulmonary Hypertension via Induction of PDZ and LIM Domain 5,2015
lung,pulmonary_fibrosis,mus_musculus,NONMMUT021928.2,URS00009B9A54_10090,lncrna,up-regulation,miR-18a,NA,In the present study. we identified that lncRNA NONMMUT021928. designated as pulmonary fibrosis-associated lncRNA (PFAL). was up-regulated in the lungs of mice with experimental lung fibrosis. and in TGF-beta1-induced fibrotic lung fibroblasts. Further study showed that overexpression of PFAL promoted cell proliferation. migration. and fibroblast-myofibroblast transition. Overexpression further resulted in extracellular matrix deposition and fibrogenesis in lung fibroblasts through regulation of microRNA-18a (miR-18a). Importantly. knockdown of PFAL alleviated lung fibrosis both in vitro and in vivo. Mechanistically. our study showed that PFAL promoted lung-fibroblast activation and fibrogenesis by acting as a competing endogenous RNA for miR-18a: forced expression of PFAL inhibited the expression and activity of miR-18a. whereas silencing of PFAL had the opposite effect. Furthermore. we found that miR-18a was decreased during lung fibrosis in vitro and in vivo. as well as in patients with IPF. Moreover. knockdown of miR-18a led to fibrogenesis in lung fibroblasts. whereas enhanced expression of miR-18a attenuated TGF-beta1-induced lung fibrosis by directly targeting the regulation of connecting tissue growth factor.,29683732,lncRNA PFAL promotes lung fibrosis through CTGF by competitively binding miR-18a,2018
lung,silicosis,mus_musculus,Chrf,105463121,lncrna,up-regulation,"Myd88, Smad3",NA,Levels were reduced in both macrophages that were exposed to silica and fibroblasts that were exposed to TGF-B1. MiR-489 inhibited silica-induced pulmonary fibrosis primarily by repressing its target genes MyD88 and Smad3. Moreover. the up-regulated lncRNA cardiac hypertrophy-related factor (CHRF) reversed the inhibitory effect of miR-489 on MyD88 and Smad3 and then triggered the inflammation and fibrotic signaling pathways.,27506999,MiR-489 inhibits silica-induced pulmonary fibrosis by targeting MyD88 and Smad3 and is negatively regulated by lncRNA CHRF,2016
lung,respiratory_distress_syndrome_acute,mus_musculus,Trp53cor1,100504267,lncrna,up-regulation,NA,NA,LincRNA-p21 expression was time-dependently increased and Thy-1 expression was time-dependently reduced in a mouse model of ARDS and in LPS-treated lung fibroblasts. LincRNA-p21 overexpression dramatically inhibited acetylation of H3 and H4 at the Thy-1 promoter and Thy-1 expression levels in HLF1 cells.LincRNA-p21 interference rescued LPS-induced increase of lung and BAL collagen contents. LincRNA-p21 could lead to pulmonary fibrosis in ARDS by inhibition of the expression of Thy-1.,27392907,Lipopolysaccharide promotes pulmonary fibrosis in acute respiratory distress syndrome (ARDS) via lincRNA-p21 induced inhibition of Thy-1 expression,2016
lung,respiratory_distress_syndrome_acute,mus_musculus,Trp53cor1,100504267,lncrna,histone deacetylation,NA,NA,LincRNA-p21 expression was time-dependently increased and Thy-1 expression was time-dependently reduced in a mouse model of ARDS and in LPS-treated lung fibroblasts. LincRNA-p21 overexpression dramatically inhibited acetylation of H3 and H4 at the Thy-1 promoter and Thy-1 expression levels in HLF1 cells.LincRNA-p21 interference rescued LPS-induced increase of lung and BAL collagen contents. LincRNA-p21 could lead to pulmonary fibrosis in ARDS by inhibition of the expression of Thy-1.,27392907,Lipopolysaccharide promotes pulmonary fibrosis in acute respiratory distress syndrome (ARDS) via lincRNA-p21 induced inhibition of Thy-1 expression,2016
lung,idiopathic_pulmonary_fibrosis,mus_musculus,H19,ENSMUSG00000000031,lncrna,interact with miRNA,"Lsp1, Tnnt3, Mrpl23, Igf2, AC013548.1",NA,"Moreover. H19 interacted with miR-29b through directly binding to the 3'UTR, miR-29b inhibited COL1A1 expression by directly binding to the 4'UTR.",27613097,The effect of H19-miR-29b interaction on bleomycin-induced mouse model of idiopathic pulmonary fibrosis,2016
lung,idiopathic_pulmonary_fibrosis,mus_musculus,Hoxaas3,ENSMUSG00000085696,lncrna,dysregulation,NA,NA,Overexpression of uc.77 or 2700086A05Rik in human lung epithelial cells induced EMT as demonstrated by changes in gene and protein expression of various EMT markers and cell morphology.,26824344,Integrated long non-coding RNA analyses identify novel regulators of epithelial-mesenchymal transition in the mouse model of pulmonary fibrosis,2016
liver,liver_cirrhosis,mus_musculus,Gpr137b-ps,ENSMUSG00000097715,lncrna,up-regulation,LNCRNA GPR137B-PS AND CXCL14,NA,"We demonstrated a lncrna gpr137b-ps,Mir-200a-3p,Cxcl14 axis that modulates hsc activation and might exert an effect on the pathogenesis of liver fibrosis.",33069761,A lncRNA Gpr137b-ps/miR-200a-3p/CXCL14 axis modulates hepatic stellate cell (HSC) activation,2021
heart,endomyocardial_fibrosis,mus_musculus,Sail,NA,lncrna,down-regulation,NA,TGF-BETA SIGNALING PATHWAY,SAIL inhibited the fibrotic process by directly binding with SAFB via 23 conserved nucleotide sequences. in turn blocked the access of SAFB to RNA pol II (RNA polymerase II) and reduced the transcription of fibrosis-related genes. Intriguingly.the human conserved fragment of SAIL (hSAIL) significantly suppressed the proliferation and collagen production of human cardiac fibroblasts.,33675440,SAIL: a new conserved anti-fibrotic lncRNA in the heart,2021
kidney,kidney_failure_chronic,mus_musculus,Zfas1,ENSMUSG00000074578,lncrna,up-regulation,NA,WNT SIGNALING PATHWAY,LncRNA ZFAS1 from HCM could promote cardiac fibrosis through WNT/beta-catenin signal via exosome pathways.,33640882,Exosome-derived long non-coding RNA ZFAS1 controls cardiac fibrosis in chronic kidney disease,2021
lung,pulmonary_fibrosis,mus_musculus,NONMMUT060091,NA,lncrna,down-regulation,SRSF1,NA,A series of molecular assays to assess the role of the novel lncRNA NONMMUT060091. designated as pulmonary fibrosis inhibitor (PFI). which was significantly downregulated in lung fibrosis. Functionally. knockdown of endogenous PFI by smart silencer promoted proliferation. differentiation. and extracellular matrix (ECM) deposition in primary mouse lung fibroblasts (MLFs).,33981019,The long non-coding RNA PFI protects against pulmonary fibrosis by interacting with splicing regulator SRSF1,2021
heart,myocardial_infarction,mus_musculus,Mhrt,ENSMUSG00000097652,lncrna,up-regulation,NA,NA,Overexpression of MHRT promoted collagen production and CF proliferation. while silencing of MHRT showed the opposite effect.,34334583,LncRNA MHRT Promotes Cardiac Fibrosis via miR-3185 Pathway Following Myocardial Infarction,2021
heart,acute_myocardial_infarction,mus_musculus,Norad,ENSMUSG00000102869,lncrna,up-regulation,NA,NA,NORAD aggravates acute myocardial infarction by promoting fibrosis and apoptosis via the miR-577/COBLL1 axis.,34355838,Long non-coding RNA NORAD aggravates acute myocardial infarction by promoting fibrosis and apoptosis via miR-577/COBLL1 axis,2021
heart,diabetic_cardiomyopathy,mus_musculus,Norad,ENSMUSG00000102869,lncrna,down-regulation,NA,NA,NORAD lentivirus shRNA improved cardiac function and fibrosis and reduced inflammatory responses in diabetic cardiomyopathy mice via the ceRNA network of NORAD/miR-125a-3p/Fyn.,34591118,NORAD lentivirus shRNA mitigates fibrosis and inflammatory responses in diabetic cardiomyopathy via the ceRNA network of NORAD/miR-125a-3p/Fyn,2021
heart,diabetic_cardiomyopathy,mus_musculus,Gas5,ENSMUSG00000053332,lncrna,up-regulation,NA,NA,GAS5 promotes diabetic cardiomyopathy progression by regulating miR-26a/b-5p.,34091757,Silencing lncRNA GAS5 alleviates apoptosis and fibrosis in diabetic cardiomyopathy by targeting miR-26a/b-5p,2021
heart,heart_failure,mus_musculus,Snhg20,ENSMUSG00000086859,lncrna,down-regulation,miR-335,NA,Downregulation of SNHG20 effectively enhanced cell viability and decreased cell size of HL-1 cells and the expression levels of fibrosis-related proteins (fibronectin. collagen IaI. and alpha-SMA) and apoptosis-related proteins (cleaved caspase-3 and cleaved PARP). which were induced by angiotensin II treatment.,34228494,Inhibition of Long Noncoding RNA SNHG20 Improves Angiotensin II-Induced Cardiac Fibrosis and Hypertrophy by Regulating the MicroRNA 335/ Galectin-3 Axis,2021
heart,myocardial_infarction,mus_musculus,Malat1,ENSMUSG00000092341,lncrna,up-regulation,miR-25-3p,NA,MALAT1 sponged miR-25-3p to upregulate CDC42. miR-25-3p overexpression promoted oxygen-glucose deprivation-treated cell viability. proliferation. and angiogenesis.,34745428,M1 Bone Marrow-Derived Macrophage-Derived Extracellular Vesicles Inhibit Angiogenesis and Myocardial Regeneration Following Myocardial Infarction via the MALAT1/MicroRNA-25-3p/CDC42 Axis,2021
heart,atrial_fibrosis,mus_musculus,Nron,ENSMUSG00000086484,lncrna,down-regulation,miR-23a,NA,NRON promotes M2 macrophage polarization and alleviates atrial fibrosis through suppressing exosomal miR-23a derived from atrial myocytes.,33246743,LncRNA NRON promotes M2 macrophage polarization and alleviates atrial fibrosis through suppressing exosomal miR-23a derived from atrial myocytes,2021
heart,myocardial_infarction,mus_musculus,Snhg7,72091,lncrna,up-regulation,miR-455-3p,NA,LncRNA SNHG7 depletion exerted protective roles in apoptosis. fibrosis. and inflammation in Ang-II-induced cardiac fibroblasts  by regulating miR-455-3p/PTAFR axis. providing a potential molecular target for myocardial infarction therapy.,33929392,Long Noncoding RNA Small Nuclear RNA Host Gene 7 Knockdown Protects Mouse Cardiac Fibroblasts Against Myocardial Infarction by Regulating miR-455-3p/Platelet-Activating Factor Receptor Axis,2021
heart,myocardial_infarction,mus_musculus,Miat,ENSMUSG00000097767,lncrna,up-regulation,NA,NA,Ablation of Miat attenuates pathological hypertrophy and heart failure. in part. by enhancing cardiomyocyte contractility.,34335976,Ablation of lncRNA Miat attenuates pathological hypertrophy and heart failure,2021
kidney,renal_fibrosis,mus_musculus,Gas5,ENSMUSG00000053332,lncrna,down-regulation,NA,NA,Long noncoding RNA growth arrest-specific 5 (GAS5). acting in a renoprotective role via the Smad3/miRNA-142-5p axis. that modulates extracellular matrix formation and cell apoptosis.,34486400,LncRNA GAS5 protects against TGF-beta-induced renal fibrosis via the Smad3/miRNA-142-5p axis,2021
kidney,diabetic_nephropathy,mus_musculus,Isg20,ENSMUSG00000039236,lncrna,up-regulation,NA,NA,Lnc-ISG20 promotes the renal fibrosis process in diabetic nephropathy by activating AKT through the miR-486-5p/NFAT5 axis.,33939247,LncRNA lnc-ISG20 promotes renal fibrosis in diabetic nephropathy by inducing AKT phosphorylation through miR-486-5p/NFAT5,2021
kidney,renal_fibrosis,mus_musculus,Xist,ENSMUSG00000086503,lncrna,up-regulation,miR-19b,NA,Knockdown of XIST inhibited apoptosis and inflammation of renal fibrosis via miR-19b-mediated downregulation of SOX6.,34461493,Knockdown of lncRNA XIST inhibited apoptosis and inflammation in renal fibrosis via microRNA-19b-mediated downregulation of SOX6,2021
kidney,diabetic_nephropathy,mus_musculus,Rmrp,ENSMUSG00000088088,lncrna,up-regulation,NA,NA,Sp1 induced lncRNA Rmrp could drive the expression of JunD via sponging miR-1a-3p in diabetic nephropathy progression.,34512545,Sp1-Induced lncRNA Rmrp Promotes Mesangial Cell Proliferation and Fibrosis in Diabetic Nephropathy by Modulating the miR-1a-3p/JunD Pathway,2021
kidney,diabetic_nephropathy,mus_musculus,Sox2ot,ENSMUSG00000105265,lncrna,down-regulation,NA,PI3K-AKT SIGNALING PATHWAY,LncRNA SOX2OT alleviates the pathogenesis of diabetic nephropathy via regulating Akt/mTOR-mediated autophagy.,34238205,LncRNA SOX2OT alleviates mesangial cell proliferation and fibrosis in diabetic nephropathy via Akt/mTOR-mediated autophagy,2021
kidney,chronic_kidney_disease,mus_musculus,H19,ENSMUSG00000000031,lncrna,up-regulation,NA,WNT SIGNALING PATHWAY,LncRNA-H19 overexpression significantly upregulates Wnt1 and beta-catenin expression in kidney tissues and fibroblasts of mice.,34818249,The Long Noncoding RNA-H19 Mediates the Progression of Fibrosis from Acute Kidney Injury to Chronic Kidney Disease by Regulating the miR-196a/Wnt/beta-Catenin Signaling,2022
kidney,acute_kidney_injury,mus_musculus,H19,ENSMUSG00000000031,lncrna,up-regulation,NA,WNT SIGNALING PATHWAY,LncRNA-H19 overexpression significantly upregulates Wnt1 and beta-catenin expression in kidney tissues and fibroblasts of mice.,34818249,The Long Noncoding RNA-H19 Mediates the Progression of Fibrosis from Acute Kidney Injury to Chronic Kidney Disease by Regulating the miR-196a/Wnt/beta-Catenin Signaling,2022
kidney,diabetic_nephropathy,mus_musculus,Malat1,ENSMUSG00000092341,lncrna,up-regulation,NA,NA,MALAT1 overexpression may enhance renal fibrosis in diabetic rats and cell damage in high glucose-induced HK-2 cells via the miR-2355-3p/IL6ST axis.,33995063,lncRNA MALAT1 Promotes Renal Fibrosis in Diabetic Nephropathy by Targeting the miR-2355-3p/IL6ST Axis,2021
kidney,diabetic_nephropathy,mus_musculus,Dlx6os1,ENSMUSG00000090063,lncrna,up-regulation,SOX6,NA,LncRNA Dlx6os1 accelerates the progression of diabetic nephropathy by epigenetically repressing SOX6 via recruiting EZH2.,35038705,LncRNA Dlx6os1 Accelerates Diabetic Nephropathy Progression by Epigenetically Repressing SOX6 via Recruiting EZH2,2022
kidney,diabetic_nephropathy,mus_musculus,ANRIL,ENSMUSG00000086035,lncrna,down-regulation,NA,NA,Lnc-ANRIL knock-down suppresses mouse mesangial cell proliferation. fibrosis. inflammation. Wnt/beta-catenin and MEK/ERK pathways in diabetic nephropathy.,32726814,Knock-Down of Long Non-Coding RNA ANRIL Suppresses Mouse Mesangial Cell Proliferation. Fibrosis. Inflammation via Regulating Wnt/beta-Catenin and MEK/ERK Pathways in Diabetic Nephropathy,2022
